sample,Gp4,Gp6,uncl_Acidimicrobiales_4,Actinomyces,uncl_Actinomycetaceae_5,Georgenia,Brevibacterium,Corynebacterium,Turicella,Brachybacterium,Blastococcus,uncl_Geodermatophilaceae_5,Janibacter,Ornithinimicrobium,Phycicoccus,uncl_Intrasporangiaceae_5,uncl_Kineosporiaceae_5,Agrococcus,Curtobacterium,Leucobacter,Microbacterium,Plantibacter,Pseudoclavibacter,uncl_Microbacteriaceae_5,Arthrobacter,uncl_Micrococcaceae_5,Actinoplanes,Catenuloplanes,Mycobacterium,Rhodococcus,uncl_Nocardiaceae_5,Aeromicrobium,Nocardioides,uncl_Nocardioidaceae_5,Isoptericola,Promicromonospora,Microlunatus,Propionibacterium,Propionicicella,Tessaracoccus,uncl_Propionibacteriaceae_5,Pseudonocardia,Saccharopolyspora,uncl_Pseudonocardiaceae_5,Sanguibacter,Kitasatospora,Streptomyces,uncl_Actinomycetales_4,Asaccharobacter,Collinsella,Eggerthella,Enterorhabdus,Paraeggerthella,Slackia,uncl_Coriobacteriaceae_5,uncl_Actinobacteria_3,Barnesiella,Butyricimonas,Dysgonomonas,Odoribacter,Parabacteroides,Tannerella,uncl_Porphyromonadaceae_5,Prevotella,uncl_Prevotellaceae_5,Alistipes,Rikenella,uncl_Rikenellaceae_5,Anaerorhabdus,Bacteroides,uncl_Bacteroidales_4,Haliscomenobacter,uncl_Saprospiraceae_5,Chitinophaga,uncl_Chitinophagaceae_5,Dyadobacter,Flectobacillus,Hymenobacter,Leadbetterella,uncl_Cytophagaceae_5,Mucilaginibacter,Pedobacter,Sphingobacterium,uncl_Sphingobacteriales_4,Cryomorpha,Wandonia,uncl_Cryomorphaceae_5,Capnocytophaga,Chryseobacterium,Cloacibacterium,Flavobacterium,Mesonia,Planobacterium,Wautersiella,uncl_Flavobacteriaceae_5,uncl_Bacteroidetes_2,Sphaerobacter,uncl_Thermomicrobia_3,Mucispirillum,Deinobacterium,Deinococcus,Truepera,Meiothermus,Thermus,Fusobacterium,Leptotrichia,Sebaldella,Sneathia,Gemmatimonas,Geminicoccus,Brevundimonas,Phenylobacterium,uncl_Caulobacteraceae_5,Aurantimonas,Chelatococcus,Bosea,Bradyrhizobium,uncl_Bradyrhizobiaceae_5,Brucella,Devosia,Rhodoplanes,Methylobacterium,Microvirga,Pleomorphomonas,uncl_Methylocystaceae_5,Phyllobacterium,uncl_Phyllobacteriaceae_5,Ensifer,Kaistia,Rhizobium,uncl_Rhizobiaceae_5,uncl_Xanthobacteraceae_5,uncl_Rhizobiales_4,Amaricoccus,Paracoccus,uncl_Rhodobacteraceae_5,Acetobacter,Roseomonas,uncl_Acetobacteraceae_5,Magnetospirillum,Pelagibius,uncl_Rhodospirillaceae_5,Mitochondria_genus_incertae_sedis,Altererythrobacter,uncl_Erythrobacteraceae_5,Novosphingobium,Sphingomonas,uncl_Sphingomonadaceae_5,uncl_Alphaproteobacteria_3,Alcaligenes,Bordetella,Pigmentiphaga,Burkholderia,Cupriavidus,Pandoraea,Ralstonia,uncl_Burkholderiaceae_5,Aquabacterium,Sphaerotilus,Tepidimonas,Comamonas,Delftia,Schlegelella,uncl_Comamonadaceae_5,Massilia,uncl_Oxalobacteraceae_5,Parasutterella,uncl_Burkholderiales_4,uncl_Hydrogenophilaceae_5,Methylobacillus,uncl_Methylophilaceae_5,Aquaspirillum,Chromobacterium,Microvirgula,Neisseria,Stenoxybacter,Vitreoscilla,Vogesella,uncl_Neisseriaceae_5,Dechloromonas,Propionivibrio,Shinella,Thauera,Zoogloea,uncl_Betaproteobacteria_3,Vampirovibrio,uncl_Desulfohalobiaceae_5,Bilophila,uncl_Desulfovibrionaceae_5,uncl_Desulfovibrionales_4,Sorangium,uncl_Deltaproteobacteria_3,Arcobacter,Campylobacter,Sulfurospirillum,Cronobacter,Kluyvera,Morganella,Proteus,Raoultella,Tatumella,uncl_Enterobacteriaceae_5,Vibrio,Aeromonas,uncl_Aeromonadaceae_5,Alishewanella,Marinobacter,Shewanella,uncl_Alteromonadales_4,Gilvimarinus,uncl_Gammaproteobacteria_family_incertae_sedis_5,Legionella,Alcanivorax,Halomonas,uncl_Pasteurellaceae_5,Acinetobacter,Enhydrobacter,Psychrobacter,Cellvibrio,Pseudomonas,uncl_Pseudomonadaceae_5,Thiothrix,Luteimonas,Lysobacter,Stenotrophomonas,Xanthomonas,uncl_Gammaproteobacteria_3,uncl_Proteobacteria_2,Acholeplasma,Anaeroplasma,uncl_Mollicutes_3,Akkermansia,Chlorophyta,Streptophyta,uncl_Chloroplast_5,GpVI,uncl_Cyanobacteria_Chloroplast_2,Tumebacillus,uncl_Alicyclobacillaceae_5,Bacillus,Geobacillus,uncl_Bacillaceae_1_5,Geomicrobium,uncl_Bacillaceae_2_5,Gemella,Cohnella,Paenibacillus,Saccharibacillus,Thermobacillus,uncl_Paenibacillaceae_1_5,Aneurinibacillus,uncl_Paenibacillaceae_2_5,Lysinibacillus,Rummeliibacillus,Sporosarcina,Ureibacillus,Jeotgalicoccus,Macrococcus,Staphylococcus,uncl_Bacillales_4,Aerococcus,Globicatella,Carnobacterium,Enterococcus,Vagococcus,uncl_Enterococcaceae_5,Lactobacillus,Paralactobacillus,uncl_Lactobacillaceae_5,Leuconostoc,Weissella,Lactococcus,Streptococcus,uncl_Lactobacillales_4,uncl_Bacilli_3,Clostridium_sensu_stricto,Proteiniclasticum,uncl_Clostridiaceae_1_5,Finegoldia,Peptoniphilus,Tepidimicrobium,Tissierella,Anaerovorax,Anaerofustis,Eubacterium,Garciella,Acetitomaculum,Anaerostipes,Blautia,Clostridium_XlVa,Clostridium_XlVb,Dorea,Hespellia,Johnsonella,Lachnospiracea_incertae_sedis,Lactonifactor,Marvinbryantia,uncl_Lachnospiraceae_5,Clostridium_XI,Peptostreptococcus,uncl_Peptostreptococcaceae_5,Acetivibrio,Anaerofilum,Anaerotruncus,Butyricicoccus,Clostridium_III,Clostridium_IV,Ethanoligenens,Flavonifractor,Oscillibacter,Papillibacter,Pseudoflavonifractor,Ruminococcus,Sporobacter,uncl_Ruminococcaceae_5,uncl_Clostridiales_4,uncl_Thermoanaerobacteraceae_5,uncl_Clostridia_3,Clostridium_XVIII,Coprobacillus,Erysipelothrix,Erysipelotrichaceae_incertae_sedis,Holdemania,Sharpea,Turicibacter,uncl_Erysipelotrichaceae_5,Anaeromusa,Dialister,Megamonas,Megasphaera,Propionispora,Sporomusa,Sporotalea,Thermosinus,Veillonella,Zymophilus,uncl_Veillonellaceae_5,uncl_Selenomonadales_4,Thermolithobacter,uncl_Firmicutes_2,uncl_Bacteria_1,uncl_Mus_2,uncl_Zea_2,uncl_Root_0
m1_ileum_mucosa_psg_r2_7d,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,4,114,0,2,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,210,2,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,50,20,204,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_psg_r4_21d_biolrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,1,0,14,0,0,4,0,0,0,0,0,1,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,78,1,0,0,0,0,0,0,0,0,24,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,3,60,0,1,21,128,668,308,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,51,0,0,0,0,0,4,0,0,0
m1_ileum_mucosa_psg_r4_7d_biolrep,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,17,0,0,0,1,1,0,15,0,0,0,0,0,1,0,3,0,11,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,96,0,15,0,0,0,0,0,0,0,0,0,0,0,67,12,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,1,5,0,0,32,98,361,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_psg_r5_21d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_psg_r5_7d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,12,2,22,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,26,0,0,7,3,0,25,57,232,101,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0
m1_ileum_mucosa_psg_r6_7d_bioltechrep,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,25,0,2,1,4,1,0,36,0,2,0,0,0,0,0,3,0,25,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,215,0,46,7,0,0,0,0,0,0,0,0,0,0,143,25,0,0,92,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,36,148,746,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0
m1_ileum_mucosa_van_r2_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,14,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,324,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,5,6,3,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_van_r4_7d_biolrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,8,4,11,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
m1_ileum_mucosa_van_r5_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,6,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_van_r6_21d_techrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3492,0,51,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
m1_ileum_mucosa_van_r6_21d_bioltechrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,3,0,0,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2420,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,7,22,14,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
m1_ileum_mucosa_van_r6_7d_techrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,0,0,0,0,1,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1742,0,40,15,10,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
m1_ileum_mucosa_van_r6_7d_bioltechrep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,2,0,0,143,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,5,0,0,137,0,15,2,0,0,0,0,0,0,0,0,0,0,16,1,0,0,20,0,0,0,0,0,0,0,0,0,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2492,0,44,11,51,93,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0
m2_ileum_luminal_control_r2_7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,85,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,24,7,26,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,2,0,3,0,0,0,454,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2101,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
